Authors	Title	Journal	deconfounding	deconfounding level	Age	Sex_Gender	Scan_related	Biological_physiological	Clinical_psychological	Other	Not_specified	notes deconfounding 
Fang, HH and Liao, C and Fu, Z and Tian, S and Luo, YJ and Xu, PF and Krueger, F and Fang, Huihua and Liao, Chong and Fu, Zhao and Tian, Shuang and Luo, Yuejia and Xu, Pengfei and Krueger, Frank	Connectome-based individualized prediction of reciprocity propensity and sensitivity to framing: a resting-state functional magnetic resonance imaging study	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filter)
Feng, PJ and Jiang, RT and Wei, LJ and Calhoun, VD and Jing, B and Li, HY and Sui, J and Feng, Pujie and Jiang, Rongtao and Wei, Lijiang and Calhoun, Vince D. and Jing, Bin and Li, Haiyun and Sui, Jing	Determining four confounding factors in individual cognitive traits prediction with functional connectivity: an exploratory study	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	before: scan related (motion, length of timseries), physiological (ICA-FIX), clinical/psychological (variance of cognitive scores), other (functional connectivity type, nr of ICs used in group ICA for brain parcellation)
Freedberg, MV and Reeves, JA and Fioriti, CM and Murillo, J and Voss, JL and Wassermann, EM and Freedberg, Michael, V and Reeves, Jack A. and Fioriti, Cynthia M. and Murillo, Jorge and Voss, Joel L. and Wassermann, Eric M.	A direct test of competitive versus cooperative episodic-procedural network dynamics in human memory	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (high-pass filtering)
Gordon, EM and Laumann, TO and Marek, S and Newbold, DJ and Hampton, JM and Seider, NA and Montez, DF and Nielsen, AM and Van, AN and Zheng, AN and Miller, R and Siegel, JS and Kay, BP and Snyder, AZ and Greene, DJ and Schlaggar, BL and Petersen, SE and Nelson, SM and Dosenbach, NUF and Gordon, Evan M. and Laumann, Timothy O. and Marek, Scott and Newbold, Dillan J. and Hampton, Jacqueline M. and Seider, Nicole A. and Montez, David F. and Nielsen, Ashley M. and Van, Andrew N. and Zheng, Annie and Miller, Ryland and Siegel, Joshua S. and Kay, Benjamin P. and Snyder, Abraham Z. and Greene, Deanna J. and Schlaggar, Bradley L. and Petersen, Steven E. and Nelson, Steven M. and Dosenbach, Nico U. F.	Individualized Functional Subnetworks Connect Human Striatum and Frontal Cortex	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering, global signal regression)
Ibitoye, RT and Mallas, EJ and Bourke, NJ and Kaski, D and Bronstein, AM and Sharp, DJ and Ibitoye, Richard T. and Mallas, Emma-Jane and Bourke, Niall J. and Kaski, Diego and Bronstein, Adolfo M. and Sharp, David J.	The human vestibular cortex: functional anatomy of OP2, its connectivity and the effect of vestibular disease	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (high-pass filter)
Jia, FL and Liu, CY and Tan, LH and Siok, WT and Jia, Fanlu and Liu, Chun Yin and Li Hai Tan and Siok, Wai Ting	Lifespan developmental changes in neural substrates and functional connectivity for visual semantic processing	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (ART outlier detection, high pass filtering, band-pass filtering) 
Liu, YY and Yu, QW and Cheng, LQ and Chen, JG and Gao, J and Liu, YJ and Lin, XT and Wang, XM and Hou, ZY and Liu, Yanyan and Yu, Qiaowen and Cheng, Luqi and Chen, Jinge and Gao, Jie and Liu, Yujia and Lin, Xiangtao and Wang, Ximing and Hou, Zhongyu	The parcellation of cingulate cortex in neonatal period based on resting-state functional MRI	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filter, global signal regression)
Morand, A and Segobin, S and Lecouvey, G and Gonneaud, J and Eustache, F and Rauchs, G and Desgranges, B and Morand, Alexandrine and Segobin, Shailendra and Lecouvey, Gregory and Gonneaud, Julie and Eustache, Francis and Rauchs, Geraldine and Desgranges, Beatrice	Alterations in resting-state functional connectivity associated to the age-related decline in time-based prospective memory	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological/biological (band pass filtering)
Porter, A and Nielsen, A and Dorn, M and Dworetsky, A and Edmonds, D and Gratton, C and Porter, Alexis and Nielsen, Ashley and Dorn, Megan and Dworetsky, Ally and Edmonds, Donnisa and Gratton, Caterina	Masked features of task states found in individual brain networks	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering, global signal regression)
Ren, P and Ma, MX and Wu, DH and Ma, YY and Ren, Ping and Ma, Manxiu and Wu, Donghui and Ma, Yuanye	Frontopolar tDCS Induces Frequency-Dependent Changes of Spontaneous Low-Frequency Fluctuations: A Resting-State fMRI Study	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering, nuisance covariate regression) 
Sainburg, LE and Little, AA and Johnson, GW and Janson, AP and Levine, KK and Gonzalez, HFJ and Rogers, BP and Chang, CT and Englot, DJ and Morgan, VL and Sainburg, Lucas E. and Little, Aubrey A. and Johnson, Graham W. and Janson, Andrew P. and Levine, Kaela K. and Gonzalez, Hernan F. J. and Rogers, Baxter P. and Chang, Catie and Englot, Dario J. and Morgan, Victoria L.	Characterization of resting functional MRI activity alterations across epileptic foci and networks	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering, nuisance covariate regression) 
Scheinost, D and Chang, J and Lacadie, C and Brennan-Wydra, E and Constable, RT and Chawarska, K and Ment, LR and Scheinost, Dustin and Chang, Joseph and Lacadie, Cheryl and Brennan-Wydra, Emma and Constable, R. Todd and Chawarska, Katarzyna and Ment, Laura R.	Functional Connectivity for the Language Network in the Developing Brain: 30 Weeks of Gestation to 30 Months of Age	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (nuisance covariate regression)
Serrarens, C and Kashyap, S and Riveiro-Lago, L and Otter, M and Campforts, BCM and Stumpel, CTRM and Jansma, H and Linden, DEJ and van Amelsvoort, TAMJ and Vingerhoets, C and Serrarens, Chaira and Kashyap, Sriranga and Riveiro-Lago, Laura and Otter, Maarten and Campforts, Bea C. M. and Stumpel, Constance T. R. M. and Jansma, Henk and Linden, David E. J. and van Amelsvoort, Therese A. M. J. and Vingerhoets, Claudia	Resting-state functional connectivity in adults with 47,XXX: a 7 Tesla MRI study	CEREBRAL CORTEX	Multiple	Before network estimation	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	before: age (sample matching), sex (sample matching), scan related (motion), physiological (high-pass filtering)
Thiele, JA and Faskowitz, J and Sporns, O and Hilger, K and Thiele, Jonas A. and Faskowitz, Joshua and Sporns, Olaf and Hilger, Kirsten	Multitask Brain Network Reconfiguration Is Inversely Associated with Human Intelligence	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (nuisance covariate regression)
Voigt, K and Liang, EX and Misic, B and Ward, PGD and Egan, GF and Jamadar, SD and Voigt, Katharina and Liang, Emma X. and Misic, Bratislav and Ward, Phillip G. D. and Egan, Gary F. and Jamadar, Sharna D.	Metabolic and functional connectivity provide unique and complementary insights into cognition-connectome relationships	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering)
Wang, YZ and Royer, J and Park, BY and de Wael, RV and Lariviere, S and Tavakol, S and Rodriguez-Cruces, R and Paquola, C and Hong, SJ and Margulies, DS and Smallwood, J and Valk, SL and Evans, AC and Bernhardt, BC and Wang, Yezhou and Royer, Jessica and Park, Bo-Yong and de Wael, Reinder Vos and Lariviere, Sara and Tavakol, Shahin and Rodriguez-Cruces, Raul and Paquola, Casey and Hong, Seok-Jun and Margulies, Daniel S. and Smallwood, Jonathan and Valk, Sofie L. and Evans, Alan C. and Bernhardt, Boris C.	Long-range functional connections mirror and link microarchitectural and cognitive hierarchies in the human brain	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (ICA-FIX removal of noise components)
Wilf, M and Dupuis, C and Nardo, D and Huber, D and Sander, S and Al-Kaar, J and Haroud, M and Perrin, H and Fornari, E and Crottaz-Herbette, S and Serino, A and Wilf, Meytal and Dupuis, Celine and Nardo, Davide and Huber, Diana and Sander, Sibilla and Al-Kaar, Joud and Haroud, Meriem and Perrin, Henri and Fornari, Eleonora and Crottaz-Herbette, Sonia and Serino, Andrea	Virtual reality-based sensorimotor adaptation shapes subsequent spontaneous and naturalistic stimulus-driven brain activity	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological/biological (high-pass filtering)
Wu, QY and Huang, Q and Liu, C and Wu, HY and Wu, Qingyuan and Huang, Qi and Liu, Chao and Wu, Haiyan	Oxytocin modulates social brain network correlations in resting and task state	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering)
Yin, T and He, ZX and Chen, Y and Sun, RR and Yin, S and Lu, J and Yang, Y and Liu, XY and Ma, PH and Qu, YZ and Zhang, TT and Suo, XL and Lei, D and Gong, QY and Tang, Y and Liang, FR and Zeng, F and Yin, Tao and He, Zhaoxuan and Chen, Yuan and Sun, Ruirui and Yin, Shuai and Lu, Jin and Yang, Yue and Liu, Xiaoyan and Ma, Peihong and Qu, Yuzhu and Zhang, Tingting and Suo, Xueling and Lei, Du and Gong, Qiyong and Tang, Yong and Liang, Fanrong and Zeng, Fang	Predicting acupuncture efficacy for functional dyspepsia based on functional brain network features: a machine learning study	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (nuisance covariate regression)
Zhang, D and Zhang, RT and Zhou, LQ and Zhou, K and Chang, CQ and Zhang, Dai and Zhang, Ruotong and Zhou, Liqin and Zhou, Ke and Chang, Chunqi	The brain network underlying attentional blink predicts symptoms of attention deficit hyperactivity disorder in children	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering, global signal regression (only in one of the samples))
Zhao, HC and Turel, O and Bechara, A and He, QH and Zhao, Haichao and Turel, Ofir and Bechara, Antoine and He, Qinghua	How distinct functional insular subdivisions mediate interacting neurocognitive systems	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological/biological (high-pass filtering)
Chen, Q and Lv, H and Wang, ZD and Wei, X and Liu, J and Liu, F and Zhao, PF and Yang, ZH and Gong, SS and Wang, ZC and Chen, Qian and Lv, Han and Wang, Zhaodi and Wei, Xuan and Liu, Jiao and Liu, Fang and Zhao, Pengfei and Yang, Zhenghan and Gong, Shusheng and Wang, Zhenchang	Distinct brain structural-functional network topological coupling explains different outcomes in tinnitus patients treated with sound therapy	HUMAN BRAIN MAPPING	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (nuisance covariate regression) 
Gong, L and He, KW and Cheng, F and Deng, ZP and Cheng, K and Zhang, XE and Zhou, WJ and Ou, J and Wang, J and Zhang, B and Ding, X and Xu, RH and Xi, CH and Gong, Liang and He, Kewu and Cheng, Fang and Deng, Zhenping and Cheng, Kang and Zhang, Xi'e and Zhou, Wenjun and Ou, Jing and Wang, Jian and Zhang, Bei and Ding, Xin and Xu, Ronghua and Xi, Chunhua	The role of ascending arousal network in patients with chronic insomnia disorder	HUMAN BRAIN MAPPING	Multiple	Before network estimation	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	before: age (sample matching), sex (sample matching),  other (education, sample matching), scan related (motion), physiological (band pass filtering)
Li, LL and Di, X and Zhang, HJ and Huang, G and Zhang, L and Liang, Z and Zhang, ZG and Li, Linling and Di, Xin and Zhang, Huijuan and Huang, Gan and Zhang, Li and Liang, Zhen and Zhang, Zhiguo	Characterization of whole-brain task-modulated functional connectivity in response to nociceptive pain: A multisensory comparison study	HUMAN BRAIN MAPPING	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering) 
												
Li, SY and Chen, YL and Ren, P and Li, ZP and Zhang, J and Liang, X and Li, Siyang and Chen, Yali and Ren, Peng and Li, Zhipeng and Zhang, Jun and Liang, Xia	Highly connected and highly variable: A Core brain network during resting state supports Propofol-induced unconsciousness	HUMAN BRAIN MAPPING	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band pass filtering)
Markett, S and Nothdurfter, D and Focsa, A and Reuter, M and Jawinski, P and Markett, Sebastian and Nothdurfter, David and Focsa, Antonia and Reuter, Martin and Jawinski, Philippe	Attention networks and the intrinsic network structure of the human brain	HUMAN BRAIN MAPPING	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (nuisance covariate regression) 
