Authors	Title	Journal	Abstract	sample_size	patients	healthy	comments	network_size_nodes	network size networks	association	modelling	inclusion_strategy	weighted	deconfounding	deconfounding_level	notes deconfounding 	exclude	reason	questions deconfounding	comments	feedback	Seed based or PPI?	Anouk	Linda	threshold used
Markett, S and Nothdurfter, D and Focsa, A and Reuter, M and Jawinski, P and Markett, Sebastian and Nothdurfter, David and Focsa, Antonia and Reuter, Martin and Jawinski, Philippe	Attention networks and the intrinsic network structure of the human brain	HUMAN BRAIN MAPPING	Attention network theory distinguishes three independent systems, each supported by its own distributed network: an alerting network to deploy attentional resources in anticipation, an orienting network to direct attention to a cued location, and a control network to select relevant information at the expense of concurrently available information. Ample behavioral and neuroimaging evidence supports the dissociation of the three attention domains. The strong assumption that each attentional system is realized through a separable network, however, raises the question how these networks relate to the intrinsic network structure of the brain. Our understanding of brain networks has advanced majorly in the past years due to the increasing focus on brain connectivity. The brain is intrinsically organized into several large-scale networks whose modular structure persists across task states. Existing proposals on how the presumed attention networks relate to intrinsic networks rely mostly on anecdotal and partly contradictory arguments. We addressed this issue by mapping different attention networks at the level of cifti-grayordinates. Resulting group maps were compared to the group-level topology of 23 intrinsic networks, which we reconstructed from the same participants' resting state fMRI data. We found that all attention domains recruited multiple and partly overlapping intrinsic networks and converged in the dorsal fronto-parietal and midcingulo-insular network. While we observed a preference of each attentional domain for its own set of intrinsic networks, implicated networks did not match well to those proposed in the literature. Our results indicate a necessary refinement of the attention network theory.	86	NA	86	NA	23	NA	full correlation	aggregated	yes (thresholding)	yes	Multiple	Before network estimation	before: scan related (motion), physiological (nuisance covariate regression) 	no								
Meng, DT and Wang, SP and Wong, PCM and Feng, GY and Meng, Danting and Wang, Suiping and Wong, Patrick C. M. and Feng, Gangyi	Generalizable predictive modeling of semantic processing ability from functional brain connectivity	HUMAN BRAIN MAPPING	Semantic processing (SP) is one of the critical abilities of humans for representing and manipulating conceptual and meaningful information. Neuroimaging studies of SP typically collapse data from many subjects, but its neural organization and behavioral performance vary between individuals. It is not yet understood whether and how the individual variabilities in neural network organizations contribute to the individual differences in SP behaviors. We aim to identify the neural signatures underlying SP variabilities by analyzing functional connectivity (FC) patterns based on a large-sample Human Connectome Project (HCP) dataset and rigorous predictive modeling. We used a two-stage predictive modeling approach to build an internally cross-validated model and to test the model's generalizability with unseen data from different HCP samples and other out-of-sample datasets. FC patterns within a putative semantic brain network were significantly predictive of individual SP scores summarized from five SP-related behavioral tests. This cross-validated model can be used to predict unseen HCP data. The model generalizability was enhanced in the language task compared with other tasks used during scanning and was better for females than males. The model constructed from the HCP dataset can be partially generalized to two independent cohorts that participated in different semantic tasks. FCs connecting to the Perisylvian language network show the most reliable contributions to predictive modeling and the out-of-sample generalization. These findings contribute to our understanding of the neural sources of individual differences in SP, which potentially lay the foundation for personalized education for healthy individuals and intervention for SP and language deficits patients.	868	NA	868	- additional testing datasets: 26 (SLD) + 26 (ASC)	60	NA	full correlation	individual	yes (thresholding)	yes	Multiple	Before network estimation	before: scan related (motion), physiological/biological (nuisance covariate regression, band pass filtering)	no			#NAAM?					
Farb, Desormeau et al.	Static and treatment-responsive brain biomarkers of depression relapse vulnerability following prophylactic psychotherapy: Evidence from a randomized control trial	NEUROIMAGE-CLINICAL	Background: Neural reactivity to dysphoric mood induction indexes the tendency for distress to promote cognitive reactivity and sensory avoidance. Linking these responses to illness prognosis following recovery from Major Depressive Disorder informs our understanding of depression vulnerability and provides engagement targets for prophylactic interventions. Methods: A prospective fMRI neuroimaging design investigated the relationship between dysphoric reactivity and relapse following prophylactic intervention. Remitted depressed outpatients (N = 85) were randomized to 8 weeks of Cognitive Therapy with a Well-Being focus or Mindfulness Based Cognitive Therapy. Participants were assessed before and after therapy and followed for 2 years to assess relapse status. Neural reactivity common to both assessment points identified static biomarkers of relapse, whereas reactivity change identified dynamic biomarkers. Results: Dysphoric mood induction evoked prefrontal activation and sensory deactivation. Controlling for past episodes, concurrent symptoms and medication status, somatosensory deactivation was associated with depression recurrence in a static pattern that was unaffected by prophylactic treatment, HR 0.04, 95% CI [0.01, 0.14], p < .001. Treatment-related prophylaxis was linked to reduced activation of the left lateral prefrontal cortex (LPFC), HR 3.73, 95% CI [1.33, 10.46], p = .013. Contralaterally, the right LPFC showed dysphoriaevoked inhibitory connectivity with the right somatosensory biomarker Conclusions: These findings support a two-factor model of depression relapse vulnerability, in which: enduring patterns of dysphoria-evoked sensory deactivation contribute to episode return, but vulnerability may be mitigated by targeting prefrontal regions responsive to clinical intervention. Emotion regulation during illness remission may be enhanced by reducing prefrontal cognitive processes in favor of sensory representation and integration.														yes	wrong outcome (analysis)		"- PPI - no direct answer to several concepts  - on the PPI: ""8.4. Psychophysiological interaction (PPI) analysis The neural region-of-interest most significantly associated with relapse (peak MNI location: x = 52, y = 30, z = 64) was used as a seed region in a post-hoc, generalized psychophysiological interaction (gPPI) analysis to measure task-evoked changes in whole-brain functional connectivity with the seed region. Within each participant-session, signal from the seed region was extracted to construct an interaction term with a vector contrasting film task conditions(Sad vs. Neutral). The resulting first-level participant-session maps indicated areas where seed region functional connectivity was significantly altered as a function of film condition. At the group level, relapse status was regressed onto the participant-session maps to identify where mood-related changes in somatosensory connectivity were associated with relapse."""		PPI			
Favaretto, C and Allegra, M and Deco, G and Metcalf, NV and Griffis, JC and Shulman, GL and Brovelli, A and Corbetta, M and Favaretto, Chiara and Allegra, Michele and Deco, Gustavo and Metcalf, Nicholas, V and Griffis, Joseph C. and Shulman, Gordon L. and Brovelli, Andrea and Corbetta, Maurizio	Subcortical-cortical dynamical states of the human brain and their breakdown in stroke	NATURE COMMUNICATIONS	The mechanisms controlling dynamical patterns in spontaneous brain activity are poorly understood. Here, we provide evidence that cortical dynamics in the ultra-slow frequency range (<0.01-0.1 Hz) requires intact cortical-subcortical communication. Using functional magnetic resonance imaging (fMRI) at rest, we identify Dynamic Functional States (DFSs), transient but recurrent clusters of cortical and subcortical regions synchronizing at ultra-slow frequencies. We observe that shifts in cortical clusters are temporally coincident with shifts in subcortical clusters, with cortical regions flexibly synchronizing with either limbic regions (hippocampus/amygdala), or subcortical nuclei (thalamus/basal ganglia). Focal lesions induced by stroke, especially those damaging white matter connections between basal ganglia/thalamus and cortex, provoke anomalies in the fraction times, dwell times, and transitions between DFSs, causing a bias toward abnormal network integration. Dynamical anomalies observed 2 weeks after stroke recover in time and contribute to explaining neurological impairment and long-term outcome. Favaretto et al. show that the brain rapidly alternates between transient connectivity patterns, with cortical regions flexibly synchronizing with two groups of subcortical regions, and that this dynamic is abnormal in stroke patients.														yes	wrong outcome (analysis)		#NAAM?					
Morris, EL and Taylor, SF and Kang, J and Morris, Emily L. and Taylor, Stephan F. and Kang, Jian	On predictability of individual functional connectivity networks from clinical characteristics	HUMAN BRAIN MAPPING	In recent years, understanding functional brain connectivity has become increasingly important as a scientific tool with potential clinical implications. Statistical methods, such as graphical models and network analysis, have been adopted to construct functional connectivity networks for single subjects. Here we focus on studying the association between functional connectivity networks and clinical characteristics such as psychiatric symptoms and diagnoses. Utilizing machine learning algorithms, we propose a method to examine predictability of functional connectivity networks from clinical characteristics. Our methods can identify salient clinical characteristics predictive of the whole brain network or specific subnetworks. We illustrate our methods on the analysis of fMRI data in the Philadelphia Neurodevelopmental Cohort study, demonstrating clinically meaningful results.	346	346	NA	NA	264	NA	full correlation	multilevel	yes (thresholding)	no	Multiple	Before network estimation	before: scan related (motion), physiological (respiration/heart rate artifacts removed using band pass filtering)	no			- thresholded to only contain edges present in > 5% of subjects					
Motlaghian, SM and Belger, A and Bustillo, JR and Ford, JM and Iraji, A and Lim, K and Mathalon, DH and Mueller, BA and O'Leary, D and Pearlson, G and Potkin, SG and Preda, A and van Erp, TGM and Calhoun, VD and Motlaghian, Sara M. and Belger, Aysenil and Bustillo, Juan R. and Ford, Judith M. and Iraji, Armin and Lim, Kelvin and Mathalon, Daniel H. and Mueller, Bryon A. and O'Leary, Daniel and Pearlson, Godfrey and Potkin, Steven G. and Preda, Adrian and van Erp, Theo G. M. and Calhoun, Vince D.	Nonlinear functional network connectivity in resting functional magnetic resonance imaging data	HUMAN BRAIN MAPPING	"In this work, we focus on explicitly nonlinear relationships in functional networks. We introduce a technique using normalized mutual information (NMI) that calculates the nonlinear relationship between different brain regions. We demonstrate our proposed approach using simulated data and then apply it to a dataset previously studied by Damaraju et al. This resting-state fMRI data included 151 schizophrenia patients and 163 age- and gender-matched healthy controls. We first decomposed these data using group independent component analysis (ICA) and yielded 47 functionally relevant intrinsic connectivity networks. Our analysis showed a modularized nonlinear relationship among brain functional networks that was particularly noticeable in the sensory and visual cortex. Interestingly, the modularity appears both meaningful and distinct from that revealed by the linear approach. Group analysis identified significant differences in explicitly nonlinear functional network connectivity (FNC) between schizophrenia patients and healthy controls, particularly in the visual cortex, with controls showing more nonlinearity (i.e., higher normalized mutual information between time courses with linear relationships removed) in most cases. Certain domains, including subcortical and auditory, showed relatively less nonlinear FNC (i.e., lower normalized mutual information), whereas links between the visual and other domains showed evidence of substantial nonlinear and modular properties. Overall, these results suggest that quantifying nonlinear dependencies of functional connectivity may provide a complementary and potentially important tool for studying brain function by exposing relevant variation that is typically ignored. Beyond this, we propose a method that captures both linear and nonlinear effects in a ""boosted"" approach. This method increases the sensitivity to group differences compared to the standard linear approach, at the cost of being unable to separate linear and nonlinear effects."	314	151	163	NA	47	NA	multiple	aggregated	yes (thresholding)	yes	Multiple	Before network estimation	before: age (sample matching), sex (sample matching), scan related (motion)	no			- association type: full correlation, normalised mutual information					
Feng, ZJ and Deng, XP and Zhao, N and Jin, J and Yue, J and Hu, YS and Jing, Y and Wang, HX and Knosche, TR and Zang, YF and Wang, J and Feng, Zi-Jian and Deng, Xin-Ping and Zhao, Na and Jin, Jing and Yue, Juan and Hu, Yun-Song and Jing, Ying and Wang, Hong-Xiao and Knosche, Thomas R. and Zang, Yu-Feng and Wang, Jue	Resting-State fMRI Functional Connectivity Strength Predicts Local Activity Change in the Dorsal Cingulate Cortex: A Multi-Target Focused rTMS Study	CEREBRAL CORTEX	Previous resting state functional magnetic resonance imaging (RS-fMRI) studies suggested that repetitive transcranial magnetic stimulation (rTMS) can modulate local activity in distant areas via functional connectivity (FC). A brain region has more than one connection with the superficial cortical areas. The current study proposed a multi-target focused rTMS protocol for indirectly stimulating a deep region, and to investigate 1) whether FC strength between stimulation targets (right middle frontal gyrus [rMFG] and right inferior parietal lobule [rIPL]) and effective region (dorsal anterior cingulate cortex [dACC]) can predict local activity changes of dACC and 2) whether multiple stimulation targets can focus on the dACC via FC. A total of 24 healthy participants received rTMS with two stimulation targets, both showing strong FC with the dACC. There were four rTMS conditions (>1 week apart, 10 Hz, 1800 pulses for each): rMFG-target, rIPL-target, Double-targets (900 pulses for each target), and Sham. The results failed to validate the multi-target focused rTMS hypothesis. But rMFG-target significantly decreased the local activity in the dACC. In addition, stronger dACC-rMFG FC was associated with a greater local activity change in the dACC. Future studies should use stronger FC to focus stimulation effects on the deep region.														yes	wrong outcome (analysis)		#NAAM?		seed-based			
Pat, N and Wang, Y and Anney, R and Riglin, L and Thapar, A and Stringaris, A and Pat, Narun and Wang, Yue and Anney, Richard and Riglin, Lucy and Thapar, Anita and Stringaris, Argyris	Longitudinally stable, brain-based predictive models mediate the relationships between childhood cognition and socio-demographic, psychological and genetic factors	HUMAN BRAIN MAPPING	Cognitive abilities are one of the major transdiagnostic domains in the National Institute of Mental Health's Research Domain Criteria (RDoC). Following RDoC's integrative approach, we aimed to develop brain-based predictive models for cognitive abilities that (a) are developmentally stable over years during adolescence and (b) account for the relationships between cognitive abilities and socio-demographic, psychological and genetic factors. For this, we leveraged the unique power of the large-scale, longitudinal data from the Adolescent Brain Cognitive Development (ABCD) study (n similar to 11 k) and combined MRI data across modalities (task-fMRI from three tasks: resting-state fMRI, structural MRI and DTI) using machine-learning. Our brain-based, predictive models for cognitive abilities were stable across 2 years during young adolescence and generalisable to different sites, partially predicting childhood cognition at around 20% of the variance. Moreover, our use of `opportunistic stacking' allowed the model to handle missing values, reducing the exclusion from around 80% to around 5% of the data. We found fronto-parietal networks during a working-memory task to drive childhood-cognition prediction. The brain-based, predictive models significantly, albeit partially, accounted for variance in childhood cognition due to (1) key socio-demographic and psychological factors (proportion mediated = 18.65% [17.29%-20.12%]) and (2) genetic variation, as reflected by the polygenic score of cognition (proportion mediated = 15.6% [11%-20.7%]). Thus, our brain-based predictive models for cognitive abilities facilitate the development of a robust, transdiagnostic research tool for cognition at the neural level in keeping with the RDoC's integrative framework.	11758	NA	NA	NA	333	13	multiple	aggregated	no	yes	Multiple	Before network estimation	before: scan related (motion), physiological (nuisance covariate regression), other (site)  	no			- 333 parcels assigned to 13 networks  - association type: full correlation, partial correlation					
Sbaihat, H and Rajkumar, R and Ramkiran, S and Assi, AAN and Felder, J and Shah, NJ and Veselinovic, T and Neuner, I and Sbaihat, Hasan and Rajkumar, Ravichandran and Ramkiran, Shukti and Assi, Abed Al-Nasser and Felder, Joerg and Shah, Nadim Jon and Veselinovic, Tanja and Neuner, Irene	Test-retest stability of spontaneous brain activity and functional connectivity in the core resting-state networks assessed with ultrahigh field 7-Tesla resting-state functional magnetic resonance imaging	HUMAN BRAIN MAPPING	The growing demand for precise and reliable biomarkers in psychiatry is fueling research interest in the hope that identifying quantifiable indicators will improve diagnoses and treatment planning across a range of mental health conditions. The individual properties of brain networks at rest have been highlighted as a possible source for such biomarkers, with the added advantage that they are relatively straightforward to obtain. However, an important prerequisite for their consideration is their reproducibility. While the reliability of resting-state (RS) measurements has often been studied at standard field strengths, they have rarely been investigated using ultrahigh-field (UHF) magnetic resonance imaging (MRI) systems. We investigated the intersession stability of four functional MRI RS parameters-amplitude of low-frequency fluctuations (ALFF) and fractional ALFF (fALFF; representing the spontaneous brain activity), regional homogeneity (ReHo; measure of local connectivity), and degree centrality (DC; measure of long-range connectivity)-in three RS networks, previously shown to play an important role in several psychiatric diseases-the default mode network (DMN), the central executive network (CEN), and the salience network (SN). Our investigation at individual subject space revealed a strong stability for ALFF, ReHo, and DC in all three networks, and a moderate level of stability in fALFF. Furthermore, the internetwork connectivity between each network pair was strongly stable between CEN/SN and moderately stable between DMN/SN and DMN/SN. The high degree of reliability and reproducibility in capturing the properties of the three major RS networks by means of UHF-MRI points to its applicability as a potentially useful tool in the search for disease-relevant biomarkers.	16	NA	16	NA	15	NA	full correlation	individual	not specified	yes	Multiple	Before network estimation	before: scan related (motion), physiological/biological (nuisance covariate regression) 	no			#NAAM?					
Shen, YH and Zhang, C and Cui, SS and Wang, R and Cai, HH and Zhao, WM and Zhu, JJ and Yu, YQ and Shen, Yuhao and Zhang, Cun and Cui, Shunshun and Wang, Rui and Cai, Huanhuan and Zhao, Wenming and Zhu, Jiajia and Yu, Yongqiang	Transcriptional substrates underlying functional connectivity profiles of subregions within the human sensorimotor cortex	HUMAN BRAIN MAPPING	The human sensorimotor cortex has multiple subregions showing functional commonalities and differences, likely attributable to their connectivity profiles. However, the molecular substrates underlying such connectivity profiles are unclear. Here, transcriptome-neuroimaging spatial correlation analyses were performed between transcriptomic data from the Allen human brain atlas and resting-state functional connectivity (rsFC) of 24 fine-grained sensorimotor subregions from 793 healthy subjects. Results showed that rsFC of six sensorimotor subregions were associated with expression measures of six gene sets that were specifically expressed in brain tissue. These sensorimotor subregions could be classified into the polygenic- and oligogenic-modulated subregions, whose rsFC were related to gene sets diverging on their numbers (hundreds vs. dozens) and functional characteristics. First, the former were specifically expressed in multiple types of neurons and immune cells, yet the latter were not specifically expressed in any cortical cell types. Second, the former were preferentially expressed during the middle and late stages of cortical development, while the latter showed no preferential expression during any stages. Third, the former were prone to be enriched for general biological functions and pathways, but the latter for specialized biological functions and pathways. Fourth, the former were enriched for neuropsychiatric disorders, whereas this enrichment was absent for the latter. Finally, although the identified genes were commonly associated with sensorimotor behavioral processes, the polygenic-modulated subregions associated genes were additionally related to vision and dementia. These findings may advance our understanding of the functional homogeneity and heterogeneity of the human sensorimotor cortex from the perspective of underlying genetic architecture.	793	NA	793	NA	24	NA	full correlation	individual	not specified	yes	Multiple	Before network estimation	before: scan related (motion, signal drift), physiological/biological (band pass filtering) 	no			#NAAM?					
Wang, R and Mo, F and Shen, YH and Song, Y and Cai, HH and Zhu, JJ and Wang, Rui and Mo, Fan and Shen, Yuhao and Song, Yu and Cai, Huanhuan and Zhu, Jiajia	Functional connectivity gradients of the insula to different cerebral systems	HUMAN BRAIN MAPPING	The diverse functional roles of the insula may emerge from its heavy connectivity to an extensive network of cortical and subcortical areas. Despite several previous attempts to investigate the hierarchical organization of the insula by applying the recently developed gradient approach to insula-to-whole brain connectivity data, little is known about whether and how there is variability across connectivity gradients of the insula to different cerebral systems. Resting-state functional MRI data from 793 healthy subjects were used to discover and validate functional connectivity gradients of the insula, which were computed based on its voxel-wise functional connectivity profiles to distinct cerebral systems. We identified three primary patterns of functional connectivity gradients of the insula to distinct cerebral systems. The connectivity gradients to the higher-order transmodal associative systems, including the prefrontal, posterior parietal, temporal cortices, and limbic lobule, showed a ventroanterior-dorsal axis across the insula; those to the lower-order unimodal primary systems, including the motor, somatosensory, and occipital cortices, displayed radiating transitions from dorsoanterior toward both ventroanterior and dorsoposterior parts of the insula; the connectivity gradient to the subcortical nuclei exhibited an organization along the anterior-posterior axis of the insula. Apart from complementing and extending previous literature on the heterogeneous connectivity patterns of insula subregions, the presented framework may offer ample opportunities to refine our understanding of the role of the insula in many brain disorders.	361	NA	NA	- validation datasets: 103 + 329	965	NA	full correlation	aggregated	yes (thresholding)	yes	Multiple	Before network estimation	before: scan related (motion), physiological (band-pass filtering) 	no								
Frohlich, J and Crone, JS and Johnson, MA and Lutkenhoff, ES and Spivak, NM and Dell'Italia, J and Hipp, JF and Shrestha, V and Tejeda, JER and Real, C and Vespa, PM and Monti, MM and Frohlich, Joel and Crone, Julia S. and Johnson, Micah A. and Lutkenhoff, Evan S. and Spivak, Norman M. and Dell'Italia, John and Hipp, Joerg F. and Shrestha, Vikesh and Tejeda, Jesus E. Ruiz and Real, Courtney and Vespa, Paul M. and Monti, Martin M.	Neural oscillations track recovery of consciousness in acute traumatic brain injury patients	HUMAN BRAIN MAPPING	Electroencephalography (EEG), easily deployed at the bedside, is an attractive modality for deriving quantitative biomarkers of prognosis and differential diagnosis in severe brain injury and disorders of consciousness (DOC). Prior work by Schiff has identified four dynamic regimes of progressive recovery of consciousness defined by the presence or absence of thalamically-driven EEG oscillations. These four predefined categories (ABCD model) relate, on a theoretical level, to thalamocortical integrity and, on an empirical level, to behavioral outcome in patients with cardiac arrest coma etiologies. However, whether this theory-based stratification of patients might be useful as a diagnostic biomarker in DOC and measurably linked to thalamocortical dysfunction remains unknown. In this work, we relate the reemergence of thalamically-driven EEG oscillations to behavioral recovery from traumatic brain injury (TBI) in a cohort of N = 38 acute patients with moderate-to-severe TBI and an average of 1 week of EEG recorded per patient. We analyzed an average of 3.4 hr of EEG per patient, sampled to coincide with 30-min periods of maximal behavioral arousal. Our work tests and supports the ABCD model, showing that it outperforms a data-driven clustering approach and may perform equally well compared to a more parsimonious categorization. Additionally, in a subset of patients (N = 11), we correlated EEG findings with functional magnetic resonance imaging (fMRI) connectivity between nodes in the mesocircuit-which has been theoretically implicated by Schiff in DOC-and report a trend-level relationship that warrants further investigation in larger studies.														yes	wrong outcome (analysis)		- wrong outcome (analysis) - seed based connectivity analysis but performed using FEAT, so automated?  - could not find any information on the network  					
Wanger, TJ and Janes, AC and Frederick, BB and Wanger, Timothy J. and Janes, Amy C. and Frederick, Blaise B.	Spatial variation of changes in test-retest reliability of functional connectivity after global signal regression: The effect of considering hemodynamic delay	HUMAN BRAIN MAPPING	Global signal regression (GSR) is a controversial analysis method, since its removal of signal has been observed to reduce the reliability of functional connectivity estimates. Here, we used test-retest reliability to characterize potential differences in spatial patterns between conventional, static GSR (sGSR) and a novel dynamic form of GSR (dGSR). In contrast with sGSR, dGSR models the global signal at a time delay to correct for blood arrival time. Thus, dGSR accounts for greater variation in global signal, removes blood-flow-related nuisance signal, and leaves higher quality neuronal signal remaining. We used intraclass correlation coefficients (ICCs) to estimate the reliability of functional connectivity in 462 healthy controls from the Human Connectome Project. We tested across two factors: denoising method used (control, sGSR, and dGSR), and interacquisition interval (between days, or within session while varying phase encoding direction). Reliability was estimated regionally to identify topographic patterns for each condition. sGSR and dGSR provided global reductions in reliability compared with the non-GSR control. Test-retest reliability was highest in the frontoparietal and default mode regions, and lowest in sensorimotor cortex for all conditions. dGSR provides more effective denoising in regions where both strategies greatly reduce reliability. Both GSR methods substantially reduced test-retest reliability, which was most evident in brain regions that had low reliability prior to denoising. These findings suggest that reliability of interregional correlation is likely inflated by the global signal, which is thought to primarily reflect dynamic blood flow.	462	NA	462	NA	419	NA	full correlation	individual	not specified	yes	Multiple	Before network estimation	before: scan related (motion), physiological (ICA-FIX removal of noise components, global signal regression)	no			#NAAM?					
Gao, ZY and Zheng, L and Gouws, A and Krieger-Redwood, K and Wang, XY and Varga, D and Smallwood, J and Jefferies, E and Gao, Zhiyao and Zheng, Li and Gouws, Andre and Krieger-Redwood, Katya and Wang, Xiuyi and Varga, Dominika and Smallwood, Jonathan and Jefferies, Elizabeth	Context free and context-dependent conceptual representation in the brain	CEREBRAL CORTEX	How concepts are coded in the brain is a core issue in cognitive neuroscience. Studies have focused on how individual concepts are processed, but the way in which conceptual representation changes to suit the context is unclear. We parametrically manipulated the association strength between words, presented in pairs one word at a time using a slow event-related fMRI design. We combined representational similarity analysis and computational linguistics to probe the neurocomputational content of these trials. Individual word meaning was maintained in supramarginal gyrus (associated with verbal short-term memory) when items were judged to be unrelated, but not when a linking context was retrieved. Context-dependent meaning was instead represented in left lateral prefrontal gyrus (associated with controlled retrieval), angular gyrus, and ventral temporal lobe (regions associated with integrative aspects of memory). Analyses of informational connectivity, examining the similarity of activation patterns across trials between sites, showed that control network regions had more similar multivariate responses across trials when association strength was weak, reflecting a common controlled retrieval state when the task required more unusual associations. These findings indicate that semantic control and representational sites amplify contextually relevant meanings in trials judged to be related.														yes	wrong outcome (analysis)		- informational connectivity analysis, exclude?	Zarah: investigated within-networks, not quite clear if evaluated connectivity. Perhaps Anouk understands it better?	no			
Xu, LZ and Feng, JF and Yu, LC and Xu, Longzhou and Feng, Jianfeng and Yu, Lianchun	Avalanche criticality in individuals, fluid intelligence, and working memory	HUMAN BRAIN MAPPING	The critical brain hypothesis suggests that efficient neural computation can be achieved through critical brain dynamics. However, the relationship between human cognitive performance and scale-free brain dynamics remains unclear. In this study, we investigated the whole-brain avalanche activity and its individual variability in the human resting-state functional magnetic resonance imaging (fMRI) data. We showed that though the group-level analysis was inaccurate because of individual variability, the subject wise scale-free avalanche activity was significantly associated with maximal synchronization entropy of their brain activity. Meanwhile, the complexity of functional connectivity, as well as structure-function coupling, is maximized in subjects with maximal synchronization entropy. We also observed order-disorder phase transitions in resting-state brain dynamics and found that there were longer times spent in the subcritical regime. These results imply that large-scale brain dynamics favor the slightly subcritical regime of phase transition. Finally, we showed evidence that the neural dynamics of human participants with higher fluid intelligence and working memory scores are closer to criticality. We identified brain regions whose critical dynamics showed significant positive correlations with fluid intelligence performance and found that these regions were located in the prefrontal cortex and inferior parietal cortex, which were believed to be important nodes of brain networks underlying human intelligence. Our results reveal the possible role that avalanche criticality plays in cognitive performance and provide a simple method to identify the critical point and map cortical states on a spectrum of neural dynamics, ranging from subcriticality to supercriticality.	284	NA	NA	NA	96	NA	full correlation	individual	yes (thresholding)	no	Multiple	Before network estimation	before: scan related (motion), physiological (nuisance covariate regression)	no		in additional analysis (dynamic FC?) also took into account age and education. But not in the FC analysis that we focus on, so excluded here. 	#NAAM?					
Geffen, T and Smallwood, J and Finke, C and Olbrich, S and Sjoerds, Z and Schlagenhauf, F and Geffen, Tal and Smallwood, Jonathan and Finke, Carsten and Olbrich, Sebastian and Sjoerds, Zsuzsika and Schlagenhauf, Florian	Functional connectivity alterations between default mode network and occipital cortex in patients with obsessive-compulsive disorder (OCD)	NEUROIMAGE-CLINICAL	Altered brain network connectivity is a potential biomarker for obsessive-compulsive disorder (OCD). A meta-analysis of resting-state MRI studies by Gursel et al. (2018) described altered functional connectivity in OCD patients within and between the default mode network (DMN), the salience network (SN), and the frontoparietal network (FPN), as well as evidence for aberrant fronto-striatal circuitry. Here, we tested the replicability of these meta-analytic rsfMRI findings by measuring functional connectivity during resting-state fMRI in a new sample of OCD patients (n = 24) and matched controls (n = 33). We performed seed-to-voxel analyses using 30 seed regions from the prior meta-analysis. OCD patients showed reduced functional connectivity between the SN and the DMN compared to controls, replicating previous findings. We did not observe significant group differences of functional connectivity within the DMN, SN, nor FPN. Additionally, we observed reduced connectivity between the visual network to both the DMN and SN in OCD patients, in particular reduced functional connectivity between lateral parietal seeds and the left inferior lateral occipital pole. Furthermore, the right lateral parietal seed (associated with the DMN) was more strongly correlated with a cluster in the right lateral occipital cortex and precuneus (a region partly overlapping with the Dorsal Attentional Network (DAN)) in patients. Importantly, this latter finding was positively correlated to OCD symptom severity. Overall, our study partly replicated prior meta-analytic findings, highlighting hypoconnectivity between SN and DMN as a potential biomarker for OCD. Furthermore, we identified changes between the SN and the DMN with the visual network. This suggests that abnormal connectivity between cortex regions associated with abstract functions (transmodal regions such as the DMN), and cortex regions associated with constrained neural processing (unimodal regions such as the visual cortex), may be important in OCD.														yes	wrong outcome (analysis)		#NAAM?		seed-based			
Geugies, H and Groenewold, NA and Meurs, M and Doornbos, B and de Klerk-Sluis, JM and van Eijndhoven, P and Roest, AM and Ruhe, HG and Geugies, Hanneke and Groenewold, Nynke A. and Meurs, Maaike and Doornbos, Bennard and de Klerk-Sluis, Jessica M. and van Eijndhoven, Philip and Roest, Annelieke M. and Ruhe, Henricus G.	Decreased reward circuit connectivity during reward anticipation in major depression	NEUROIMAGE-CLINICAL	An important symptom of major depressive disorder (MDD) is the inability to experience pleasure, possibly due to a dysfunction of the reward system. Despite promising insights regarding impaired reward-related processing in MDD, circuit-level abnormalities remain largely unexplored. Furthermore, whereas studies contrasting experimental conditions from incentive tasks have revealed important information about reward processing, temporal difference modeling of reward -related prediction error (PE) signals might give a more accurate representation of the reward system. We used a monetary incentive delay task during functional MRI scanning to explore PE-related striatal and ventral tegmental area (VTA) activation in response to anticipation and delivery of monetary rewards in 24 individuals with MDD versus 24 healthy controls (HCs). Furthermore, we investigated group differences in temporal difference related connectivity with a generalized psychophysiological interaction (gPPI) analysis with the VTA, ventral striatum (VS) and dorsal striatum (DS) as seeds during reward versus neutral, both in anticipation and delivery. Relative to HCs, MDD patients displayed a trend-level (p = 0.052) decrease in temporal difference-related activation in the VS during reward anticipation and delivery combined. Moreover, gPPI analyses revealed that during reward anticipation, MDD patients exhibited decreased functional connectivity between the VS and anterior cingulate cortex / medial prefrontal cortex, anterior cingulate gyrus, angular/middle orbital gyrus, left insula, superior/middle frontal gyrus (SFG/MFG) and precuneus/superior occipital gyrus/cerebellum compared to HC. Moreover, MDD patients showed decreased functional connectivity between the VTA and left insula compared to HC during reward anticipation. Exploratory analysis separating medication free patients from patients using anti-depressant revealed that these decreased functional connectivity patterns were mainly apparent in the MDD group that used antidepressants. These results suggest that MDD is characterized by alterations in reward circuit connectivity rather than isolated activation impairments. These findings represent an important extension of the existing literature since improved understanding of neural pathways underlying depression-related reward dysfunctions, may help currently unmet diagnostic and therapeutic efforts.														yes	wrong outcome (analysis)		- gPPI - difficult to extract information, no explicit mention of correlation coefficient etc 		PPI			
